hub_id,hub_label,work_id,paper_id,year,doi,supporting_member_node_count,official_gold
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2016-aop-physreve93053310,D009,2016,10.1103/PhysRevE.93.053310,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,5,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,2,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2018-091彭程,D020,2019,,1,0
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,2,0
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,D021,2019,10.1088/1367-2630/ab31ef,1,0
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2020-gtnc,D027,2020,10.1103/PhysRevB.101.075135,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2021-光量子分类器,D035,2021,10.1364/PRJ.434217,1,0
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2022-cpl-tn特征选择-白生成,D038,2022,10.1088/0256-307X/39/10/100701,2,0
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2022-functional-mps-洪瑞,D040,2022,10.1103/PhysRevB.105.165116,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2023-schmidt-tns-prl,D043,2023,10.1103/PhysRevLett.131.020403,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2024-luying-entanglement-prl,D048,2024,10.1103/PhysRevLett.133.070402,2,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2024-wang-eth-inhomogeneous,D047,2024,10.1103/PhysRevB.109.045139,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2025-ifmps-hong-rui,D049,2025,10.1103/PhysRevB.111.245109,1,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2026-fdz-kagome-magnetic-platform,D055,2026,10.1103/vwx9-3zwj,2,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2010-distorted-kagome,D001,2010,10.1103/PhysRevB.82.134434,2,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2013-ncd-physrevb88064407,D006,2013,10.1103/PhysRevB.88.064407,1,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2015-sierpinskie2015-60745-5,D010,2016,10.1140/epjb/e2015-60745-5,2,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2018-csw-physrevb98085111,D018,2018,10.1103/PhysRevB.98.085111,1,1
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,1,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,D022,2019,10.1103/PhysRevB.99.195101,1,1
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2021-adqc,D031,2021,10.1103/PhysRevA.104.042601,1,1
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2021-qubismnet,D030,2021,10.1088/0256-307X/38/11/110301,1,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2023-王顶族qes边界奇异性,D046,2024,10.1088/2058-9565/ad038a,1,0
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2026-setn-zhu-hao,D054,2026,10.1103/vb4b-m5h6,1,0
academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,2012-odtns,D004,2012,10.1103/PhysRevB.86.134429,2,0
academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,1,1
academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,D022,2019,10.1103/PhysRevB.99.195101,3,1
academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,2022-cpl-tn特征选择-白生成,D038,2022,10.1088/0256-307X/39/10/100701,2,0
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,2,1
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,1,0
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,2019-finite-temperature-qes,D023,2019,10.1103/PhysRevB.99.205132,2,1
academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,2020-paulinets-hermann,D024,2020,10.1038/s41557-020-0544-y,3,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2012-odtns,D004,2012,10.1103/PhysRevB.86.134429,1,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2013-ncd-physrevb88064407,D006,2013,10.1103/PhysRevB.88.064407,1,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2014-zhaoyanghoneycombladder,D005,2013,,1,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,1,1
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2018-kagome-chenxi,D016,2018,10.1016/j.scib.2018.11.007,1,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2020-paulinets-hermann,D024,2020,10.1038/s41557-020-0544-y,2,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2021-adqc,D031,2021,10.1103/PhysRevA.104.042601,2,1
academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2021-qubismnet,D030,2021,10.1088/0256-307X/38/11/110301,2,0
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,2,1
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,2017-octa-kagome,D012,2017,10.1103/PhysRevB.95.075140,3,1
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,2021-qubismnet,D030,2021,10.1088/0256-307X/38/11/110301,1,0
academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,2020-paulinets-hermann,D024,2020,10.1038/s41557-020-0544-y,4,0
academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,2021-mpnn,D036,2021,10.21468/SciPostPhysCore.4.3.022,1,0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2013-kt-phase,D007,2013,10.1103/PhysRevE.87.032151,1,0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2013-ncd-physrevb88064407,D006,2013,10.1103/PhysRevB.88.064407,2,0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,5,1
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,1,0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2020-tncs-physrevresearch2033293,D029,2020,10.1103/PhysRevResearch.2.033293,1,1
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2021-adqc,D031,2021,10.1103/PhysRevA.104.042601,1,1
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,2021-entanglement-feature-extraction,D037,2021,10.3389/fams.2021.716044,2,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2010-distorted-kagome,D001,2010,10.1103/PhysRevB.82.134434,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2010-ltrg,D002,2011,10.1103/PhysRevLett.106.127202,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2012-odtns,D004,2012,10.1103/PhysRevB.86.134429,2,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2012-spin-1-chain-闫,D003,2012,10.1103/PhysRevB.85.134425,2,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2013-kt-phase,D007,2013,10.1103/PhysRevE.87.032151,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2014-husimi,D008,2014,10.1103/PhysRevB.89.054426,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2014-zhaoyanghoneycombladder,D005,2013,,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2016-aop-physreve93053310,D009,2016,10.1103/PhysRevE.93.053310,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2017-ptdmrgphysrevb95064110,D011,2017,10.1103/PhysRevB.95.064110,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2018-emergent-spin-1-trimerized-valence-bond-crystal,D017,2018,10.1103/PhysRevB.97.075146,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2018-kagome-chenxi,D016,2018,10.1016/j.scib.2018.11.007,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2019-finite-temperature-qes,D023,2019,10.1103/PhysRevB.99.205132,2,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2020-mps_deep_encoding_circuit,D025,2020,10.1103/PhysRevA.101.032310,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2020-sawtooth,D026,2020,10.1103/PhysRevB.101.045133,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2021-qubismnet,D030,2021,10.1088/0256-307X/38/11/110301,1,0
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2021-virtual-configuration-binarization,D034,2021,10.1103/PhysRevE.103.013313,1,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,2022-tn-tailoring-王顶族,D039,2022,10.1103/PhysRevB.105.155155,3,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2012-odtns,D004,2012,10.1103/PhysRevB.86.134429,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2016-aop-physreve93053310,D009,2016,10.1103/PhysRevE.93.053310,2,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,2,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2017-octa-kagome,D012,2017,10.1103/PhysRevB.95.075140,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2017-ptdmrgphysrevb95064110,D011,2017,10.1103/PhysRevB.95.064110,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2018-091彭程,D020,2019,,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2018-csw-physrevb98085111,D018,2018,10.1103/PhysRevB.98.085111,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2018-emergent-spin-1-trimerized-valence-bond-crystal,D017,2018,10.1103/PhysRevB.97.075146,2,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2018-kagome-chenxi,D016,2018,10.1016/j.scib.2018.11.007,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2019-finite-temperature-qes,D023,2019,10.1103/PhysRevB.99.205132,3,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,D021,2019,10.1088/1367-2630/ab31ef,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,D022,2019,10.1103/PhysRevB.99.195101,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2020-gtnc,D027,2020,10.1103/PhysRevB.101.075135,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2020-mps_deep_encoding_circuit,D025,2020,10.1103/PhysRevA.101.032310,2,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2020-paulinets-hermann,D024,2020,10.1038/s41557-020-0544-y,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2020-tncs-physrevresearch2033293,D029,2020,10.1103/PhysRevResearch.2.033293,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,D028,2020,10.1103/PhysRevE.102.012152,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2021-adqc,D031,2021,10.1103/PhysRevA.104.042601,3,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2021-entanglement-feature-extraction,D037,2021,10.3389/fams.2021.716044,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2021-virtual-configuration-binarization,D034,2021,10.1103/PhysRevE.103.013313,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2021-光量子分类器,D035,2021,10.1364/PRJ.434217,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2022-functional-mps-洪瑞,D040,2022,10.1103/PhysRevB.105.165116,3,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2023-kagome-方大智,D042,2023,10.1103/PhysRevB.107.L220401,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2023-resmps,D045,2023,10.21468/SciPostPhys.14.6.142,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2023-schmidt-tns-prl,D043,2023,10.1103/PhysRevLett.131.020403,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2023-王顶族qes边界奇异性,D046,2024,10.1088/2058-9565/ad038a,2,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2024-wang-eth-inhomogeneous,D047,2024,10.1103/PhysRevB.109.045139,1,1
