step,entry_id,work_id,publication_date,title,page,reuse,create,abstain,reuse_fraction_R,eligible_canonical_nodes,multi_source_nodes,multi_source_consolidation_M,old_nodes,changed_old_nodes,old_node_membership_churn_C,candidate_event_count,committed_event_count,hub_births,hub_splits,hub_merges,hub_retirements,is_sensitivity_entry
21,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,2019,Machine learning by unitary tensor network of hierarchical tree structure,academic/wiki/papers/D021-2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,5,15,0,0.25,310,30,0.0967741935484,294,2,0.00680272108844,1,0,0,0,0,0,False
22,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,2019,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,academic/wiki/papers/D022-2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,4,10,0,0.285714285714,320,31,0.096875,310,0,0,2,1,1,0,0,0,False
23,2019-finite-temperature-qes,2019-finite-temperature-qes,2019,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions,academic/wiki/papers/D023-2019-finite-temperature-qes,11,20,0,0.354838709677,340,35,0.102941176471,320,4,0.0125,2,1,1,0,0,0,False
24,2020-paulinets-hermann,2020-paulinets-hermann,2020,Deep-neural-network solution of the electronic Schrödinger equation,academic/wiki/papers/D024-2020-paulinets-hermann,2,30,0,0.0625,370,36,0.0972972972973,340,3,0.00882352941176,3,2,2,0,0,0,False
25,2020-mps_deep_encoding_circuit,2020-mps_deep_encoding_circuit,2020,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,academic/wiki/papers/D025-2020-mps_deep_encoding_circuit,2,9,0,0.181818181818,379,36,0.0949868073879,370,1,0.0027027027027,1,0,0,0,0,0,False
26,2020-sawtooth,2020-sawtooth,2020,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,academic/wiki/papers/D026-2020-sawtooth,3,11,0,0.214285714286,390,36,0.0923076923077,379,0,0,1,0,0,0,0,0,False
27,2020-gtnc,2020-gtnc,2020,Generative tensor network classification model for supervised machine learning,academic/wiki/papers/D027-2020-gtnc,7,14,0,0.333333333333,404,39,0.0965346534653,390,0,0,1,0,0,0,0,0,False
28,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020,Tangent-space gradient optimization of tensor network for machine learning,academic/wiki/papers/D028-2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,1,10,0,0.0909090909091,414,39,0.0942028985507,404,0,0,1,0,0,0,0,0,False
29,2020-tncs-physrevresearch2033293,2020-tncs-physrevresearch2033293,2020,Tensor network compressed sensing with unsupervised machine learning,academic/wiki/papers/D029-2020-tncs-physrevresearch2033293,3,19,0,0.136363636364,433,39,0.0900692840647,414,0,0,1,0,0,0,0,0,False
30,2021-qubismnet,2021-qubismnet,2021,Deep Learning Quantum States for Hamiltonian Estimation,academic/wiki/papers/D030-2021-qubismnet,4,7,0,0.363636363636,440,39,0.0886363636364,433,5,0.0115473441109,3,2,2,0,0,0,False
31,2021-adqc,2021-adqc,2021,Automatically differentiable quantum circuit for many-qubit state preparation,academic/wiki/papers/D031-2021-adqc,3,16,0,0.157894736842,456,40,0.0877192982456,440,3,0.00681818181818,1,0,0,0,0,0,False
32,2021-卢迎fgto,2021-卢迎fgto,2021,Preparation of many-body ground states by time evolution with variational microscopic magnetic fields and incomplete interactions,academic/wiki/papers/D032-2021-卢迎fgto,1,16,0,0.0588235294118,472,41,0.0868644067797,456,0,0,1,0,0,0,0,0,False
33,2021-quantum-phase-visualization,2021-quantum-phase-visualization,2021,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional reduction,academic/wiki/papers/D033-2021-quantum-phase-visualization,3,12,0,0.2,484,42,0.0867768595041,472,0,0,1,0,0,0,0,0,False
34,2021-virtual-configuration-binarization,2021-virtual-configuration-binarization,2021,Phase identification in many-body systems by virtual configuration binarization,academic/wiki/papers/D034-2021-virtual-configuration-binarization,4,8,0,0.333333333333,492,43,0.0873983739837,484,0,0,1,0,0,0,0,0,False
35,2021-光量子分类器,2021-光量子分类器,2021,Experimental realization of a quantum image classifier via tensor-network-based machine learning,academic/wiki/papers/D035-2021-光量子分类器,4,12,0,0.25,505,44,0.0871287128713,492,0,0,1,0,0,0,0,0,False
36,2021-mpnn,2021-mpnn,2021,Predicting quantum potentials by deep neural network and metropolis sampling,academic/wiki/papers/D036-2021-mpnn,1,13,0,0.0714285714286,519,45,0.0867052023121,505,4,0.00792079207921,2,1,1,0,0,0,False
37,2021-entanglement-feature-extraction,2021-entanglement-feature-extraction,2021,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,academic/wiki/papers/D037-2021-entanglement-feature-extraction,6,10,0,0.375,530,46,0.0867924528302,519,6,0.0115606936416,2,1,1,0,0,0,False
38,2022-cpl-tn特征选择-白生成,2022-cpl-tn特征选择-白生成,2022,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quantum Entanglement Variations,academic/wiki/papers/D038-2022-cpl-tn特征选择-白生成,2,12,0,0.142857142857,542,47,0.0867158671587,530,4,0.00754716981132,1,0,0,0,0,0,False
39,2022-tn-tailoring-王顶族,2022-tn-tailoring-王顶族,2022,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tensor network,academic/wiki/papers/D039-2022-tn-tailoring-王顶族,4,12,0,0.25,554,47,0.0848375451264,542,3,0.00553505535055,2,1,1,0,0,0,False
40,2022-functional-mps-洪瑞,2022-functional-mps-洪瑞,2022,Functional tensor network solving many-body Schrödinger equation,academic/wiki/papers/D040-2022-functional-mps-洪瑞,6,12,0,0.333333333333,566,49,0.0865724381625,554,2,0.00361010830325,1,0,0,0,0,0,False
41,2022-rlf李伟明,2022-rlf李伟明,2022,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic Fidelity,academic/wiki/papers/D041-2022-rlf李伟明,3,15,0,0.166666666667,582,51,0.0876288659794,566,1,0.0017667844523,1,0,0,0,0,0,False
