step,entry_id,is_sensitivity_entry,R_observed,R_observation_excluding_sensitivity_entry,R_cumulative,R_cumulative_excluding_sensitivity_entry,M_observed,M_direct_contribution_excluding_sensitivity_entry,M_numerator_excluding_sensitivity_entry,M_denominator_excluding_sensitivity_entry,sensitivity_entry_exclusive_nodes,C_observed,C_direct_nodes_excluding_sensitivity_entry,C_excluded_old_nodes
35,2021-光量子分类器,False,0.25,0.25,0.216300940439,0.216300940439,0.0871287128713,0.0871287128713,44,505,0,0,0,0
36,2021-mpnn,False,0.0714285714286,0.0714285714286,0.213190184049,0.213190184049,0.0867052023121,0.0867052023121,45,519,0,0.00792079207921,0.00792079207921,0
37,2021-entanglement-feature-extraction,False,0.375,0.375,0.217065868263,0.217065868263,0.0867924528302,0.0867924528302,46,530,0,0.0115606936416,0.0115606936416,0
38,2022-cpl-tn特征选择-白生成,False,0.142857142857,0.142857142857,0.215542521994,0.215542521994,0.0867158671587,0.0867158671587,47,542,0,0.00754716981132,0.00754716981132,0
39,2022-tn-tailoring-王顶族,False,0.25,0.25,0.216332378223,0.216332378223,0.0848375451264,0.0848375451264,47,554,0,0.00553505535055,0.00553505535055,0
40,2022-functional-mps-洪瑞,False,0.333333333333,0.333333333333,0.219273743017,0.219273743017,0.0865724381625,0.0865724381625,49,566,0,0.00361010830325,0.00361010830325,0
41,2022-rlf李伟明,False,0.166666666667,0.166666666667,0.217983651226,0.217983651226,0.0876288659794,0.0876288659794,51,582,0,0.0017667844523,0.0017667844523,0
42,2023-kagome-方大智,False,0.25,0.25,0.218498659517,0.218498659517,0.0862944162437,0.0862944162437,51,591,0,0.0120274914089,0.0120274914089,0
43,2023-schmidt-tns-prl,False,0.333333333333,0.333333333333,0.220316622691,0.220316622691,0.0884808013356,0.0884808013356,53,599,0,0.0135363790186,0.0135363790186,0
44,2023-luying-quvis,False,0,0,0.218300653595,0.218300653595,0.0874587458746,0.0874587458746,53,606,0,0,0,0
45,2023-resmps,False,0.157894736842,0.157894736842,0.216836734694,0.216836734694,0.0852090032154,0.0852090032154,53,622,0,0,0,0
